emp_ID,emp_Name,emp_Size
1093046,Hewlett Packard Enterprise | HPE,10000--1
1438796,OwnBackup,51-200
348676,Schindler,5001-10000
3803,Capgemini,10000--1
637747,u-blox,501-1000
220617,China CITIC Bank,10000--1
581508,ams,10000--1
1188344,EK-design,-1-0
302067,University of Hong Kong,10000--1
2013130,Ada Health,201-500
793897,RTB House,501-1000
7802,William Hill,10000--1
848918,Sigma Technology,501-1000
1066782,Titan Protection and Consulting,201-500
325971,Pivotree,201-500
10497,Wolters Kluwer,10000--1
3008111,Knowtions Research,-1-0
1121387,time:matters,51-200
2032336,Initiate International,1-50
12453,RWS,201-500
1362855,BIT,1-50
3071598,Internship Wanted,-1-0
1356747,Branch International,51-200
43129,Tesla,10000--1
1098979,Xenit Solutions,1-50
1091,Molson Coors,10000--1
890416,Goal,1001-5000
37546,Unit4,1001-5000
1647223,National Institute of Advanced Studies,51-200
228354,ABeam Consulting,1001-5000
1519,Intel Corporation,10000--1
1648,Micron Technology,10000--1
699721,WalkMe,501-1000
1019743,blueVisions,1-50
1389473,Ingeniance,201-500
4092,Deutsche Telekom,10000--1
27974,NATS,1001-5000
2154595,Franklin Fitch,1-50
36982,British Red Cross,1001-5000
384747,Ricardo Defense,51-200
2068319,Absolute IT,1-50
2652387,Wise IT,-1-0
1875702,Euro Information,1001-5000
15703,DC Group,51-200
2860211,Ocea Smart Building,-1-0
2228643,Unbound B2B,51-200
473454,MediaCom,5001-10000
3472,Ericsson-Worldwide,10000--1
152724,Fortis Construction-Oregon,201-500
1332281,Talentplug,1-50
2472423,EyeTech Solutions,1-50
940976,Landwell & Associes,501-1000
10250,Tesco,10000--1
1457768,Hunter International Recruiting,201-500
1148240,IC Resources,51-200
670452,T&T Sistemi,51-200
224811,Kantar,1001-5000
1067,Western Digital,10000--1
528591,Web Synergies,201-500
214590,Temenos,5001-10000
1694334,Fave Group,201-500
152846,AKKA Technologies,10000--1
2653374,Starweb,-1-0
2606572,Prime Select,-1-0
932482,Amprion,1001-5000
2247410,Joyous,1-50
2251439,Peltarion,1-50
2060618,ConnectedHR,1-50
3082694,Profile Middle East,-1-0
695375,Reperio Human Capital,1-50
903734,G Forces Web Management,-1-0
2165995,Workforce,1-50
1390593,ATK Service & Marketing,51-200
2891786,Drents Overijsselse Delta,501-1000
10342,BNP Paribas,10000--1
2779897,Modular Mining Systems,-1-0
1287323,Nippon Seiki,10000--1
991879,E.C.Pay,51-200
2379278,T & S Quantum,51-200
750866,Oxford Policy Management,201-500
953789,OYO,10000--1
1911,State Street,10000--1
530072,Microware Computing & Consulting,1-50
461386,Agoda,1001-5000
309929,Australian National University,1001-5000
846375,Chronopost,1001-5000
1138,Apple,10000--1
30287,S&P Global Ratings,1001-5000
14638,Teradata,10000--1
41675,OSC,51-200
319551,AppDynamics,1001-5000
300225,Varonis Systems,1001-5000
145,J.P. Morgan,10000--1
12235,Robert Walters,1001-5000
1088722,CareerMaster,1-50
1711237,Six People Map,1-50
15014,Etisalat,10000--1
8604,Countrywide plc,10000--1
2864555,Mindbreeze,-1-0
13555,Hill+Knowlton Strategies,1001-5000
10350,Société Générale,10000--1
2785,Estée Lauder Companies,10000--1
1104946,Pulpo,51-200
414902,YER,201-500
1263091,Shopee,5001-10000
1363551,Koneos,-1-0
2068592,Stegmann,1-50
33029,GTT,1001-5000
14049,Rosen Group,1-50
1173194,Interpro People,51-200
2438835,Bays Joinery,-1-0
1304936,Sallyport,1001-5000
3053443,Austin Bright,-1-0
797,Brown-Forman,1001-5000
11307,MSX International,5001-10000
1587539,Full Potential Solutions,501-1000
948769,Breuninger,5001-10000
1602367,In Extenso Digital,1-50
2380936,Communique IDEAS,-1-0
2979789,Schuh und Sport Mücke,-1-0
659153,FinXL,201-500
1544468,Corbins Electric,501-1000
2136868,Sydney Local Health District,5001-10000
100431,Glassdoor,501-1000
158808,Keyrus Group,1001-5000
10316,Wienerberger,10000--1
796600,Understanding Recruitment,1-50
443864,Mendix,501-1000
1155860,Greenlight Biosciences,51-200
6725,MAXIMUS,10000--1
1274810,iprice group,51-200
2721248,Business Decision,-1-0
309841,WorldQuant,501-1000
4968,NASB Financial,201-500
14612,Institutional Shareholder Services,201-500
722200,Phillips-Medisize,1001-5000
1171526,D&B Group,1-50
8014,Cognizant Technology Solutions,10000--1
305502,Chandler Macleod,1001-5000
539412,Vendasta,201-500
3068167,Fuschia Careers,-1-0
1139163,Talent Scout Management Solutions,1-50
3776,Nielsen,10000--1
2315760,Switchjobs,51-200
1002811,JRC Integrated Systems,51-200
1035665,Agile Partner,1-50
888135,Third Bridge,501-1000
1444894,Magno IT Recruitment,1-50
2551457,CosaVostra,1-50
527775,Dnata,10000--1
974330,4Scotty,1-50
1894054,Scape Technologies,1-50
232,Equifax,10000--1
354,IBM,10000--1
8631,SITA,1001-5000
783038,anykey,1-50
1079,Macy's,10000--1
1066981,AKZENTE Personal,501-1000
446118,T-Systems,10000--1
676670,Tradeshift,501-1000
653576,Metromile,201-500
3482,HSBC Holdings,10000--1
2278458,IKOR (Germany),51-200
11701,Avanade,10000--1
3054987,Bimona,-1-0
1564,Kelly Services,5001-10000
7828,Economical Insurance,1001-5000
131609,ServiceSource,1001-5000
1337214,Letgo,201-500
10682,Natixis,10000--1
1368978,Speechmatics,51-200
138872,NCS,10000--1
2985133,Staan,51-200
194,Target,10000--1
25614,EBC Computers,1-50
639,TJX Companies,10000--1
1366034,Artefact,501-1000
1304534,The Creative Zone,1-50
932730,MT Aerospace,501-1000
661119,Precision Control,51-200
1314745,Novelvox,51-200
404,Lockheed Martin,10000--1
237909,Bestseller,10000--1
987285,IQ-EQ,1001-5000
3807,SAS Institute,10000--1
2080812,Datatonic,1-50
1580783,Easy Partner,1-50
1290845,United Capital Club,51-200
1889746,Voodoo,51-200
252122,Extensis Group,51-200
2876553,The Trusts Arena,1-50
883890,Vaimo,201-500
2908768,Internet Center Polska,-1-0
10358,Thales,10000--1
23488,Promega,1001-5000
238,Foot Locker,10000--1
9773,OCBC Bank,10000--1
1790338,Dathena,1-50
1359830,Money Map Press,51-200
10222,Royal Bank of Scotland,10000--1
2386520,PHMR,1-50
13917,Environmental Resources Management,5001-10000
1139,Applied Materials,10000--1
296337,Chinese University of Hong Kong,10000--1
3521,Bridgestone Global,10000--1
957786,Crealogix,201-500
10107,AIM Group,1001-5000
796216,Recruitmentrevolution,1-50
131206,Bare International,201-500
2417063,SLAMcore,1-50
34134,[24]7.ai,10000--1
1879400,Braze,201-500
948288,Martor,51-200
575263,Uber,10000--1
1534592,Dept,1001-5000
1478452,3TI PROGETTI,201-500
601494,RareJob,201-500
1895496,Inveon,51-200
1176901,Maten,1-50
1141851,Da Vinci Engineering,201-500
3082849,PREFOUND,-1-0
381713,Wargaming,1001-5000
311940,Hire Velocity,51-200
38264,Knight Frank,10000--1
433313,NetBase Solutions,51-200
1558144,ZAPR Media Labs,51-200
2968698,BIstein,-1-0
11159,Salesforce,10000--1
100303,Thomson Reuters,10000--1
636122,Fidelity International,5001-10000
578726,Lazada,5001-10000
1259396,S&P Global,10000--1
966184,Helveting,51-200
494852,Xylem,10000--1
2936731,HeroSpark,201-500
2140668,Signature Group,201-500
3000594,European Energy,51-200
193,Danaher,10000--1
1630865,Excello Homes,51-200
2590888,Ribbon Communications,1001-5000
1032852,SpringML,1-50
995903,Prodata Consult,51-200
327184,WSO2,501-1000
356,International Paper,10000--1
3007829,KitchenMate,-1-0
657343,Finite IT Recruitment,51-200
1787,First Data,10000--1
2062306,Commencis,201-500
660899,Poltrona Frau Group,501-1000
290897,SRK Consulting,51-200
1190141,YesStyle,51-200
2893,McKinsey & Company,10000--1
1078532,Tractable,1-50
783176,TRANSPOREON Group,201-500
250201,Achievers,51-200
1380997,VALTES Advanced Technology,1-50
1296544,GitLab,501-1000
1319027,Gousto,201-500
221,Eaton,10000--1
508246,AE Global Media,1-50
1018530,Doctolib,201-500
39739,ALD Automotive,501-1000
748432,iSentia,1001-5000
1306881,Horizn,1-50
1138702,Cinemex,5001-10000
3086817,Roi Rekrytering,-1-0
465818,CBRE,10000--1
258469,T4G,201-500
1924655,The Warehouse Group,10000--1
1535960,Activus Services,51-200
404596,MicroSourcing International,-1-0
487550,Miniclip,201-500
2894447,dataroots,-1-0
3477,GlaxoSmithKline,10000--1
2735,Booz Allen Hamilton,10000--1
494231,Wealth-X,501-1000
1185863,SolJiT,1-50
2862241,ENGIE Axima,-1-0
17371,OOCL,501-1000
27259,Arthrex,1001-5000
42399,Wirecard,5001-10000
2178779,Lineas,1001-5000
860376,Starmind,51-200
746102,ironSource,501-1000
240009,CPA Global,1001-5000
38331,Wikimedia Foundation,201-500
799754,Magic Leap,1001-5000
10605,Valeo,10000--1
606627,Alter Domus,1001-5000
7481,Woolworths Group,10000--1
335609,Universidad de Granada,1001-5000
2397277,BAH Partners,1-50
152762,Medpace,1001-5000
3085304,Quincus,-1-0
3086913,Safir Consulting,-1-0
611812,DBS Bank,10000--1
2352865,Silot,1-50
2501735,Northvolt,201-500
219444,Duke Corporate Education,51-200
1141022,Transcendent Business Services,1-50
35727,Hachette UK,501-1000
2898065,TimeTac,-1-0
545919,RAS Infotech,1-50
250719,Designit,501-1000
2282,Morgan Stanley,10000--1
1687949,Janus Worldwide,201-500
1361648,MONDI,1001-5000
2397241,Redpath Partners,51-200
316194,TechComp,51-200
2731,Bechtel,10000--1
814618,Invenco,51-200
2767287,Creatrix Hava,-1-0
947628,redblue Marketing,201-500
155908,WuXi AppTec,10000--1
1030223,Biomin,501-1000
245132,Macquarie Telecom Group,201-500
1969055,Maxar Technologies,5001-10000
